epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1556.27,1.14127,1.02502,1.20455,0.88231,0.81168,0.86417,0.5998,1.13664,1.02304,1.17436,0.0007294,0.0007294,0.0007294
43,1591.84,1.11349,0.96665,1.19129,0.88506,0.80814,0.87658,0.6078,1.14866,1.0161,1.17114,0.0007228,0.0007228,0.0007228
44,1628.44,1.12342,0.99942,1.19145,0.84746,0.81424,0.84569,0.57334,1.17662,1.08347,1.20507,0.0007162,0.0007162,0.0007162
45,1664.54,1.11011,1.02199,1.19644,0.87916,0.80861,0.87057,0.5957,1.16753,1.02,1.17049,0.0007096,0.0007096,0.0007096
46,1700.22,1.1208,0.9961,1.1876,0.85592,0.82248,0.86843,0.58353,1.19951,1.07695,1.20077,0.000703,0.000703,0.000703
47,1737.05,1.08912,0.97673,1.18055,0.8809,0.78583,0.86055,0.59097,1.14423,1.0362,1.17622,0.0006964,0.0006964,0.0006964
48,1773.79,1.06576,0.94214,1.17134,0.85595,0.80775,0.85607,0.59526,1.13378,1.07175,1.16441,0.0006898,0.0006898,0.0006898
49,1809.67,1.0632,0.91486,1.16621,0.84466,0.82406,0.85174,0.57739,1.17842,1.09738,1.17442,0.0006832,0.0006832,0.0006832
50,1846.74,1.09861,0.95794,1.17358,0.87481,0.80117,0.85543,0.58599,1.16369,1.04421,1.1893,0.0006766,0.0006766,0.0006766
51,1883.69,1.11041,0.95668,1.19066,0.89813,0.81213,0.86517,0.58849,1.14941,1.01184,1.18979,0.00067,0.00067,0.00067
52,1919.79,1.09166,0.89509,1.17449,0.87737,0.80129,0.85894,0.60283,1.14222,1.02469,1.17555,0.0006634,0.0006634,0.0006634
53,1956.46,1.08075,0.9147,1.16464,0.88018,0.81307,0.87058,0.58845,1.19035,1.00517,1.17719,0.0006568,0.0006568,0.0006568
54,1993.75,1.07317,0.90931,1.15984,0.88034,0.81728,0.8618,0.58635,1.15433,0.99946,1.18257,0.0006502,0.0006502,0.0006502
55,2030.23,1.05394,0.87927,1.14846,0.90176,0.79578,0.8701,0.60671,1.13643,1.01423,1.16124,0.0006436,0.0006436,0.0006436
